Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Jabari Smith Jr.,PF,19,HOU,79,79,2451,364,892,0.408,120,391,0.307,244,501,0.487,0.475,162,206,0.786,122,447,569,101,43,74,104,227,1010,2451,11.2,0.514,0.438,0.231,5.4,20.3,12.7,5.9,0.9,3.0,9.6,18.4,0.5,1.4,1.9,0.037,-2.3,-1.3,-3.7,-1.1
2,Alperen Sengun,C,20,HOU,75,72,2171,442,799,0.553,19,57,0.333,423,742,0.57,0.565,206,288,0.715,242,436,678,291,70,70,193,258,1109,2171,19.7,0.599,0.071,0.360,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,0.115,1.1,0.4,1.4,1.9
3,Kevin Porter Jr.,PG,22,HOU,59,59,2024,391,884,0.442,141,385,0.366,250,499,0.501,0.522,207,264,0.784,76,238,314,338,82,17,188,156,1130,2024,16.2,0.565,0.436,0.299,4.1,13.1,8.5,25.7,2.0,0.8,15.8,24.3,1.9,1.0,2.9,0.068,1.4,-0.8,0.6,1.3
4,TyTy Washington Jr.,PG,21,HOU,31,2,433,58,160,0.363,19,80,0.238,39,80,0.488,0.422,10,18,0.556,2,43,45,47,15,2,14,29,145,433,7.5,0.432,0.500,0.113,0.5,11.0,5.7,15.3,1.7,0.5,7.7,17.4,-0.3,0.1,-0.1,-0.016,-5.0,-1.3,-6.3,-0.5
5,KJ Martin,SF,22,HOU,82,49,2292,410,720,0.569,68,216,0.315,342,504,0.679,0.617,151,222,0.68,126,326,452,123,41,30,91,147,1039,2292,15.4,0.635,0.300,0.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7
6,Nikola Jokic,C,27,DEN,69,69,2323,646,1022,0.632,57,149,0.383,589,873,0.675,0.66,341,415,0.822,167,650,817,678,87,47,247,174,1690,2323,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8
7,Jaren Jackson Jr.,PF,23,MEM,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173,1787,21.6,0.613,0.343,0.372,6.4,18.8,12.6,5.0,1.7,9.6,10.1,24.7,2.8,3.8,6.6,0.177,0.7,2.0,2.8,2.2
8,Chet Holmgren,C,20,OKC,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dario Saric,PF,28,OKC,57,12,806,127,277,0.458,45,115,0.391,82,162,0.506,0.54,63,76,0.829,53,154,207,74,20,7,55,99,362,806,13.5,0.583,0.415,0.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1.0,1.7,0.099,-1.5,0.1,-1.4,0.1
10,Jonas Valanciunas,C,30,NOP,79,79,1968,446,816,0.547,38,109,0.349,408,707,0.577,0.57,185,224,0.826,225,579,804,140,20,52,159,245,1115,1968,19.3,0.610,0.134,0.275,13.0,33.3,23.1,11.1,0.5,2.5,14.8,23.4,2.8,3.0,5.8,0.142,0.0,-0.4,-0.4,0.8
11,Larry Nance Jr.,PF,30,NOP,65,1,1381,186,305,0.61,14,42,0.333,172,263,0.654,0.633,55,79,0.696,106,248,354,119,56,37,42,133,441,1381,16.0,0.649,0.138,0.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,0.171,0.0,2.0,2.0,1.4
12,Kira Lewis Jr.,PG,21,NOP,25,0,235,40,88,0.455,15,34,0.441,25,54,0.463,0.54,19,22,0.864,5,28,33,23,10,2,10,24,114,235,14.5,0.584,0.386,0.250,2.4,13.5,8.0,14.0,2.1,0.8,9.3,19.7,0.3,0.3,0.6,0.122,-0.8,0.5,-0.3,0.1
13,Trey Murphy III,SF,22,NOP,79,65,2448,387,800,0.484,202,497,0.406,185,303,0.611,0.61,172,190,0.905,59,222,281,112,89,43,61,155,1148,2448,15.2,0.650,0.621,0.238,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,4.8,2.8,7.6,0.150,1.4,0.4,1.8,2.3
14,Willy Hernangomez,C,28,NOP,38,2,458,89,169,0.527,3,11,0.273,86,158,0.544,0.536,81,104,0.779,58,122,180,33,17,13,39,64,262,458,20.7,0.610,0.065,0.615,14.4,30.1,22.3,10.7,1.8,2.7,15.4,23.8,0.8,0.8,1.6,0.171,-0.2,0.5,0.3,0.3
