"team","nba_team_imageURL"
"ATL","http://content.sportslogos.net/logos/6/220/full/5mdhgjh3aa92kih09pgi.gif"
"BKN","http://content.sportslogos.net/logos/6/3786/full/137_brooklyn-nets-primary-2013.gif"
"BOS","https://content.sportslogos.net/logos/6/213/full/boston_celtics_logo_primary_19977628.png"
"CHA","http://content.sportslogos.net/logos/6/5120/full/1926_charlotte__hornets_-primary-2015.png"
"CHI","http://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.gif"
"CLE","http://content.sportslogos.net/logos/6/222/full/e4701g88mmn7ehz2baynbs6e0.gif"
"DAL","http://content.sportslogos.net/logos/6/228/full/ifk08eam05rwxr3yhol3whdcm.gif"
"DEN","http://content.sportslogos.net/logos/6/229/full/xeti0fjbyzmcffue57vz5o1gl.gif"
"DET","http://content.sportslogos.net/logos/6/223/full/3079.gif"
"GSW","http://content.sportslogos.net/logos/6/235/full/qhhir6fj8zp30f33s7sfb4yw0.png"
"HOU","http://content.sportslogos.net/logos/6/230/full/8xe4813lzybfhfl14axgzzqeq.gif"
"IND","http://content.sportslogos.net/logos/6/224/full/3083.gif"
"LAC","http://content.sportslogos.net/logos/6/236/full/bvv028jd1hhr8ee8ii7a0fg4i.gif"
"LAL","http://content.sportslogos.net/logos/6/237/full/uig7aiht8jnpl1szbi57zzlsh.gif"
"MEM","http://content.sportslogos.net/logos/6/231/full/793.gif"
"MIA","http://content.sportslogos.net/logos/6/214/full/burm5gh2wvjti3xhei5h16k8e.gif"
"MIL","http://content.sportslogos.net/logos/6/225/full/0295onf2c4xsbfsxye6i.gif"
"MIN","http://content.sportslogos.net/logos/6/232/full/zq8qkfni1g087f4245egc32po.gif"
"NOP","http://content.sportslogos.net/logos/6/4962/full/2681_new_orleans_pelicans-primary-2014.png"
"NYK","http://content.sportslogos.net/logos/6/216/full/2nn48xofg0hms8k326cqdmuis.gif"
"OKC","http://content.sportslogos.net/logos/6/2687/full/khmovcnezy06c3nm05ccn0oj2.gif"
"ORL","http://content.sportslogos.net/logos/6/217/full/wd9ic7qafgfb0yxs7tem7n5g4.gif"
"PHI","http://content.sportslogos.net/logos/6/249/full/5509.gif"
"PHX","http://content.sportslogos.net/logos/6/238/full/4370_phoenix_suns-primary-2014.png"
"POR","http://content.sportslogos.net/logos/6/239/full/bahmh46cyy6eod2jez4g21buk.gif"
"SAC","http://content.sportslogos.net/logos/6/240/full/832.gif"
"SAS","http://content.sportslogos.net/logos/6/233/full/827.gif"
"TOR","http://content.sportslogos.net/logos/6/227/full/yfypcwqog6qx8658sn5w65huh.gif"
"UTA","http://content.sportslogos.net/logos/6/234/full/m2leygieeoy40t46n1qqv0550.gif"
"WAS","http://content.sportslogos.net/logos/6/219/full/b3619brnphtx65s2th4p9eggf.gif"
